"","�..Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Pages","Issue","Volume","Series","Publisher","Place","Language","Extra","Manual.Tags","Automatic.Tags","Editor","origin_DB"
"readlyc_corbiculidae.7","F7JGHJY5","journalArticle",2008,"García Medina, Nairys, ErlánJesús Everton, Altemir deDiéguez Fernández, LorenzoEstévez Espinosa","Vectores de interés sanitario en la universidad médica de Camagüey: Sus implicaciones epidemiológicas","Archivo Médico de Camagüey",NA,"",NA,"https://www.redalyc.org/articulo.oa?id=211116118007","Se realizaron prospecciones entomológicas y malacológicas en la Universidad Médica de Camagüey dirigidas a detectar especies de vectores de importancia médico-veterinaria, debido a que en la misma cursan estudios jóvenes procedentes de 40 países, en los cuales de ordinario se reportan importantes enfermedades exóticas para nuestro país. Se identificaron 17 especies con marcada relevancia vectorial, 10 pertenecientes al Phylum Arthropoda Stegomyia aegypti, Anopheles albimanus, Culex quinquefasciatus, Cx. nigripalpus, Ochlerotattus taeniorhynchus y Uranotaenia sapphirina (Familia Culicidae), Musca domestica (Familia Muscidae) y Blatella germánica, Periplaneta americana y Periplaneta brunnea (Familia Blattoptera), así como siete pertenecientes al Phylum Mollusca, cinco dulceacuícolas Depanotrema cimex, Depanotrema sp. (Familia Depanotremidae), Tarebia granifera (Familia Thiaridae), Lymnaea cubensis (Familia Lymnaeidae) y Physa cubensis (Familia Physidae), y dos terrestres Zachrysia auricoma (Familia Camaenidae) y Succinea sp. (Familia Succineinae). Los más abundantes y con mayor variedad de especies resultaron ser los mosquitos. Dichas taxa obliga a diseñar e implementar un adecuado programa de vigilancia y control antivectorial, destinado a evitar la propagación de enfermedades exóticas en nuestro territorio y que están bajo vigilancia epidemiológica.","2008","2021-08-11 16:13:30","2021-08-11 16:13:30",NA,NA,NA,NA,NA,NA,"Español",NA,"control de mosquitos; culicidae; Entomología; Entomology; epidemiologic surveillance; especificidad de especies; insect vectors; insectos vectores; medicina tropical; mosquito control; species specificity; tropical medicine; vigilancia epidemiológica",NA,NA,"readlyc_corbiculidae"
"readlyc_corbiculidae.8","QZAB5PHA","journalArticle",2003,"Naranjo García, Edna","Moluscos continentales de México: Dulceacuícolas","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44911879022","Se han registrado 16 familias de moluscos dulceacuícolas en México, de ellos los estudios que se han realizado abarcan aspectos como el tipo de hábitat y la distribución de algunas especies. Las investigaciones sobre comportamiento así como de la biología de la especie Pomacea flagellata son las mas amplias con respecto a las otras especies de moluscos dulceacuícolas. En cuanto a estudios sobre la reproducción, estos se han realizado en Pomacea patula catemacensis. Mientras que solamente se encontró el estudio embrionario de la especie Helisoma trivolvis. Por otro lado, varias son las especies de limnéidos responsables de la transmisión de Fasciola hepatica en México (Lymnaea obrussa, L. humilis y L. cubense). Además, se han encontrado formas larvarias de trematodos de diversas especies en moluscos dulceacuícolas de las familias Planorbidae, Physidae, Lymnaeidae, Ancylidae y Pisidiidae. El cultivo de moluscos dulceacuícolas con cuatro tipos de dietas, se experimentó en las especies Lymaea bulimoides, L. cubensis y L. humilis. Mientras que el Piquerol A, extraído de Piqueria trinervia, es eficaz como molusquicida natural. Se ha registrado la relación del ser humano con los moluscos, en su aspecto de alimento, fuente de divisas, fuente de cal y como indicadores de contaminación. Finalmente, es evidente la necesidad de considerar a los moluscos como un recurso no renovable y en peligro de extinción.","2003","2021-08-11 16:13:31","2021-08-11 16:13:31",NA,NA,NA,NA,NA,NA,"Español",NA,"biodiversity; Freshwater mollusks; .; Mexico",NA,NA,"readlyc_corbiculidae"
"readlyc_corbiculidae.9","2G7PTLSP","journalArticle",2016,"Lista, Yelipza, MaríaVelásquez, CarlosPrieto, AntulioLongart","Esfuerzo reproductivo, índice de engorde y rendimiento de Arca zebra (Filibranchia: Arcidae) por talla y su asociación con variables ambientales, Sucre, Venezuela","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44945722015","","2016","2021-08-11 16:13:31","2021-08-11 16:13:31",NA,NA,NA,NA,NA,NA,"Español",NA,"Arca zebra.; Esfuerzo reproductivo; fattening index; índice de engorde; rendimiento; Reproductive effort; yield",NA,NA,"readlyc_corbiculidae"
"readlyc_corbiculidae.10","RMS7PI77","journalArticle",2016,"Villarroel-Moreno, Miguel A., José A.Acosta-Balbas, VanessaGuevara-Acosta","Movilización y utilización de los sustratos energéticos de Arca zebra (Bivalvia: Arcidae) en relación con el ambiente","Revista Ciencias Marinas y Costeras",NA,"1659-455X",NA,"https://www.redalyc.org/articulo.oa?id=633766724005","El análisis de los componentes bioquímicos en especies marinas para el consumo humano tiene una gran importancia, ya que permite conocer las propiedades alimenticias y energéticas del organismo. En el presente estudio, se evaluó el perfil bioquímico en tejidos de Arca zebra en relación con los factores ambientales, con la finalidad de ser utilizado como indicador de la dinámica reproductiva y de los periodos de engorde de este importante recurso pesquero. Se analizaron 20 organismos/ mes, entre julio de 2010-julio de 2011. A cada organismo se le determinó el largo total (LT) y se separaron los tejidos, los cuales se llevaron hasta peso constante para realizarles los análisis bioquímicos mediante espectrofotometría. Se establecieron diferencias mensuales en la LT, con un promedio anual de 69.61 mm, manteniéndose por encima de la talla comercial. Los carbohidratos y las proteínas mostraron diferencias entre meses, con valores máximos en marzo y julio de 2011, siendo el músculo quien registró el mayor contenido de ambos sustratos energéticos, asociados a los altos niveles de clorofila a. Se observó una relación inversa entre los carbohidratos y las proteínas en los tres tejidos con respecto a la masa gonadal, sugiriendo una posible transferencia durante el proceso reproductivo de A. zebra. En las gónadas se registró el mayor contenido de lípidos, sin variación mensual, debido a la sincronía reproductiva de la especie. A. zebra muestra su mejor condición nutricional durante los periodos comprendidos entre septiembre-diciembre y marzo-junio, en estos meses se recomienda su comercialización e ingesta.","2016","2021-08-11 16:13:31","2021-08-11 16:13:31",NA,NA,NA,NA,NA,NA,"Español",NA,"Arcidae; biochemical components; Cl a); componentes bioquímicos; environmental factors (temperature; factores ambientales (temperatura; reproducción.; reproduction.; seston; Venezuela",NA,NA,"readlyc_corbiculidae"
"readlyc_sphaeriidae.1","RQDQJBJP","journalArticle",2018,"Ramírez, Julián, Yuly PaulinaGiraldo, Lina PaolaZúñiga, María del CarmenRamos, Blanca CeciliaChará","Influencia de la ganadería en los macroinvertebrados acuáticos en microcuencas de los Andes centrales de Colombia","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44959350024","En Colombia la actividad ganadera es de gran importancia para la economía rural y la oferta alimentaria del país. Con el fin de determinar el impacto de la ganadería y de los corredores ribereños sobre la comunidad de macroinvertebrados acuáticos en microcuencas Andinas, se seleccionaron nueve fuentes de agua de cabecera en el municipio de Villamaría (Caldas, Colombia), cinco de ellas con bosques ribereños y cuatro totalmente desprotegidas. En cada quebrada durante junio 2013 se recolectaron macroinvertebrados acuáticos usando una red D y una Surber, se tomaron muestras de agua, se midieron características del cauce y se determinó el índice de calidad de hábitat. En total se recolectaron 98 934 individuos distribuidos en nueve clases, 17 órdenes, 56 familias y 92 géneros. Veneroida fue el orden que presentó mayor abundancia seguido de Trichoptera, Diptera, Tubificida y Ephemeroptera. Coleoptera fue el orden que presentó mayor riqueza de géneros con 28, seguido de Diptera con 18, Trichoptera con 11, Ephemeroptera con 10 y Odonata con ocho. Las quebradas con corredor ribereño fueron significativamente más profundas, tuvieron mayor proporción de grava e Índice de Calidad de Hábitat y presentaron mayor riqueza de géneros que las quebradas desprotegidas (P < 0.05). Los géneros Acrobis, Ferrisia, Eurygerris, Heleobia y Pisidium, el nitrógeno total, el nitrógeno amoniacal y la proporción de limo, estuvieron correlacionados con las quebradas sin bosques ribereños, mientras que el género Rhagovelia, la subfamilia Chironominae, el índice de calidad de hábitat y la proporción de grava y piedras se correlacionaron con arroyos que tienen bosques ribereños. Los resultados de este estudio confirman que la presencia de bosques en zonas de ribera ayuda a amortiguar el impacto negativo que generan las prácticas ganaderas sobre las microcuencas y mejoran los servicios ambientales que estas prestan, por lo que se recomienda mantener la franja de vegetación ribereña en arroyos que la poseen y permitir el establecimiento de esta en arroyos desprovistos de bosque en sus las laderas.","2018","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"benthos; bentos; bosques ribereños.; calidad de agua; microbasins; microcuencas; riparian corridors; water quality.",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.2","Y24CDDTU","journalArticle",2008,"Rumi, Gustavo A., AlejandraGutiérrez Gregoric, Diego E.Núñez, VerónicaDarrigran","Malacología Latinoamericana: Moluscos de agua dulce de Argentina","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44918831006","Se presenta un estado de situación y una lista actualizada y comentada sobre las especies de moluscos de agua dulce de la República Argentina. Se aborda en Gastropoda y Bivalvia la distribución a nivel de familias; las entidades endémicas, exóticas, invasoras y de importancia sanitaria. Los moluscos relacionados a la cuenca del Plata presentan la mayor riqueza específica. Base de datos: 4 500 registros relevados de las tres colecciones más importantes de la Argentina: MLP, MACN y FML. Además, se incluye información de recolecciones actuales y localidades citadas por otros autores. Hasta el presente han sido descritas 166 especies. De ellas 101 pertenecen a 10 familias de Gastropoda y 65 a 7 de Bivalvia. Las familias que presentan mayor riqueza específica son Lithoglyphidae (22) y Sphaeriidae (25), respectivamente. Sphaeriidae, Cochliopidae, Chilinidae y Lymnaeidae se distribuyen prácticamente en todo el país. Erodonidae y Solecurtidae se registran en ambientes mixohalinos de la provincia de Buenos Aires. Thiaridae y Glacidorbiidae presentan una distribución muy restringida. Especies endémicas de la Argentina: Gastropoda: Ampullariidae (1), Cochliopidae (10), Lithoglyphidae (11), Thiariidae (3), Chilinidae (11), Lymnaeidae (2) y Physidae (2?); Bivalvia: Hyriidae (1?); Etheriidae (1?) y Sphaeriidae (10). Especies de interés sanitario: propagadoras de: Esquistosomiasis, Biomphalaria peregrina, B. straminea y B. tenagophila (Planorbidae); Fasciolasis, Lymnaea viatrix y L. columnella (Lymnaeidae); y dermatitis esquistosómicas, Chilina gibbosa y C. fluminea (Chilinidae). Especies de origen asiático: Corbicula fluminea (Corbiculidae) y Limnoperna fortunei (Mytilidae). Es prioritaria la formación de áreas protegidas para la conservación de especies endémicas, especialmente de la Mesopotamia Argentina.","2008","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"Bivalvia; Argentina.; Freshwater molluscs; Gastropoda; Moluscos de agua dulce",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.3","RTAFWKEW","journalArticle",2014,"Czaja, Jorge A., AlexanderPalacios-Fest, Manuel R.Estrada-Rodríguez, José LuisRomero Méndez, UlisesAlba Ávila","Inland dunes fauna and flora from Paleolake Irritila in the Comarca Lagunera, Coahuila, northern Mexico","Boletín de la Sociedad Geológica Mexicana",NA,"1405-3322",NA,"https://www.redalyc.org/articulo.oa?id=94332984009","","2014","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"dunas; fauna de moluscos pleistocénicos; inland dunes; norte de México; northern Mexico.; Paleolago; Paleolake; Pleistocene mollusk fauna",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.4","RIHF9AJH","journalArticle",2014,"Giraldo, Gloria, Lina PaolaChará, JuliánZúñiga, María del CarmenChará-Serna, Ana MarcelaPedraza","Impacto del uso del suelo agropecuario sobre macroinvertebrados acuáticos en pequeñas quebradas de la cuenca del río La Vieja (Valle del Cauca, Colombia)","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44932430014","Con el fin de determinar el impacto del uso del suelo sobre las características bióticas y abióticas de quebradas en la cuenca del río La Vieja, se evaluaron 21 quebradas en los municipios de Alcalá, Ulloa y Cartago (Valle del Cauca). Siete quebradas estaban protegidas por franjas de vegetación ribereña, ocho tenían influencia agrícola y seis influencia ganadera. Se registraron las condiciones de protección y perturbación del hábitat, aspectos físicos del cauce, se tomaron muestras de agua para análisis fisicoquí - mico y bacteriológico, y se recolectaron macroinvertebra - dos acuáticos. En las quebradas con influencia ganadera los sólidos disueltos, la alcalinidad, conductividad y fósforo total fueron significativamente mayores, mientras que el oxígeno disuelto fue significativamente menor. Las que - bradas agrícolas y protegidas presentaron más sustratos gruesos y más tipos de corriente. Se recolectaron 26 777 macroinvertebrados de 17 órdenes, 72 familias y 95 géne - ros. Los grupos con mayor abundancia relativa fueron Diptera 62.8%, (Chironomidae 49.6%, Ceratopogonidae 6.7%), Mollusca 18.8% (Hydrobiidae 7.2%, Sphaeriidae 9.6%) y Trichoptera 5.7% (Hydropsychidae 3.7%). Ephe - meroptera, Trichoptera y Plecoptera, presentaron mayor abundancia en las quebradas protegidas y con influencia agrícola, mientras los dípteros y moluscos fueron más abundantes en las ganaderas. Las quebradas protegidas y agrícolas presentan mejores condiciones físicas y biológi - cas que las quebradas con influencia ganadera.","2014","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"agricultura; agriculture; Andean streams; aquatic insects; biomonitoreo; biomonitoring; ganadería .; insectos acuáticos; pastures.; Quebradas andinas",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.5","CWDC5MCI","journalArticle",2010,"Cartajena, Ismael, IsabelLópez, PatricioMartínez","New camelid (Artiodactyla: Camelidae) record from the late Pleistocene of Calama (Second Region, Chile): a morphological and morphometric discussion","Revista Mexicana de Ciencias Geológicas",NA,"1026-8774",NA,"https://www.redalyc.org/articulo.oa?id=57216002001","","2010","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"camélidos sudamericanos; Lama gracilis; late Pleistocene; Norte de Chile; Northern Chile; Pleistoceno tardío; South American camelids",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.6","PXJGKZCA","journalArticle",2019,"MENESES-CAMPO, Angela María, YanethCASTRO-REBOLLEDO, María IsabelJARAMILLO-LONDOÑO","COMPARACIÓN DE LA CALIDAD DEL AGUA EN DOS RÍOS ALTOANDINOS MEDIANTE EL USO DE LOS ÍNDICES BMWP/COL. Y ABI","Acta Biológica Colombiana",NA,"0120-548X",NA,"https://www.redalyc.org/articulo.oa?id=319060771010","Se comparó la calidad ecológica del río Tota durante agosto 2007 y febrero 2008, y el curso alto del río Bogotá entre los meses de octubre 2013 y enero 2014, aplicando los índices BMWP/Col y ABI. Los puntos de muestreo corresponden a la parte alta, media y baja del gradiente longitudinal. En el río Tota se determinaron 27 familias correspondientes a 11 órdenes, donde las más abundantes fueron Baetidae (25,43 %), Leptohyphidae (16,43 %), Naididae (13,76 %), Chironomidae (11,42 %) y Hyalellidae (10,30 %). En el curso alto del río Bogotá se determinaron 32 familias correspondientes a 13 órdenes, y las más abundantes fueron Chironomidae (28,94 %), Leptoceridae (25,20 %), Naididae (18,34 %) y Simuliidae (8,63 %). En el río Tota, El BMWP/Col. presentó una calidad de agua buena, mientras que el ABI presentó una calidad aceptable. Por otra parte, en la parte alta del Río Bogotá, tanto el BMWP/ Col. como el ABI presentaron variaciones en la calidad del agua entre aceptable y muy crítica. El ACC para el río Tota mostró correlaciones entre la temperatura y conductividad con las familias Hyalellidae y Leptohyphidae mientras que el caudal se relaciona con Sphaeriidae; mientras que el curso alto del río Bogotá se correlacionó el caudal, la conductividad y la temperatura con la familia Veliidae. A manera de conclusión, los resultados obtenidos denotan que el índice ABI, que es un índice creado para sistemas andinos de montaña, es más sensible a los impactos que el índice BMWP/Col.","2019","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"Aquatic macroinvertebrates; biological indicators; biotic indexes; ecological state.; environmental impact; Estado ecológico; impacto ambiental; indicadores biológicos; índices bióticos; macroinvertebrados acuáticos.",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.7","QR7384JX","journalArticle",2017,"Gamarra, Andrea A., YolandaRestrepo, RicardoCerón-Vivas, AlexandraVillamizar, MaryoryArenas, ReinaldoVega, Claudia I.Avila","Aplicación del protocolo CERA-S para determinar la calidad ecológica de la microcuenca Mamarramos (cuenca Cane-Iguaque), Santuario de Fauna y Flora Iguaque (Boyacá), Colombia","Biota Colombiana",NA,"0124-5376",NA,"https://www.redalyc.org/articulo.oa?id=49162495002","La protección y conservación de los ríos en zonas de reserva y recarga de acuíferos en Colombia es de vital importancia y uno de los principales compromisos del gobierno, debido a que en estos ecosistemas se forman cuerpos hídricos, que ofrecen bienes y servicios, asociados al suministro de agua para las principales ciudades. El Santuario de Fauna y Flora Iguaque (SFFI) es un área protegida de la región andina colombiana, que presenta ecosistemas de páramo y bosque andino. Es administrado por Parques Nacionales Naturales de Colombia (PNN) y provee de agua a comunidades urbanas y rurales en su zona de influencia. Para determinar la calidad ecológica de la microcuenca Mamarramos se realizó un monitoreo, en el que se aplicó el protocolo CERA-S (Calidad Ecológica de Ríos Andinos Simplificado); esta herramienta integra la calidad hidromorfológica y el índice biótico ABI. En este estudio se realizaron tres jornadas de muestreo en estiaje (octubre, noviembre y diciembre de 2015) seleccionando 10 puntos de monitoreo sobre las quebradas Carrizal, Francos y Mamarramos. Los resultados obtenidos califican a la microcuenca en categoría excelente, proporcionando información que permite a los líderes políticos y comunitarios, tomar decisiones para acciones de conservación y prevención del deterioro del ecosistema por actividades antrópicas.","2017","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"Área protegida; Bioindicadores; Bioindicators; Ecosistemas altoandinos; Hidromorfológico; High-andean ecosystems; Hydromorphologic; Macroinvertebrados.; Macroinvertebrates; Protected area.",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.8","ZAGJJRA7","journalArticle",2011,"da Silva, Sílvio Jacks, Fábio HenriqueFavero, SilvioSabino, Josédos Anjos Garnés","Índices bióticos para avaliação da qualidade ambiental em trechos do rio Correntoso, Pantanal do Negro, Estado do Mato Grosso do Sul, Brasil","Acta Scientiarum. Biological Sciences",NA,"1679-9283",NA,"https://www.redalyc.org/articulo.oa?id=187121350007","pt: Este trabalho teve como objetivo pesquisar a estrutura da comunidade de insetos aquáticos, utilizando esta comunidade como indicadora da qualidade ambiental de um trecho do rio Correntoso, Pantanal do Negro, Mato Grosso do Sul, Brasil. Foram realizadas seis campanhas de coleta em diferentes períodos sazonais: vazante, seca e cheia. Os organismos foram coletados utilizando rede D com malha de 300 mm e esforço amostral de cinco lances de rede nas raízes dos bancos de macrófitas. Foram comparados três ambientes (aberto, intermediário e fechado), por junção dos dados obtidos de seis sítios de coleta. Foi analisada a riqueza, abundância absoluta e relativa das famílias de insetos amostrados e a avaliação da qualidade da água usando o índice BMWP, índice BMWP-ASPT, índice IBF e índice de diversidade de Shannon- Wienner, com log2. Foram registradas 60 famílias pertencentes a 12 ordens da Classe Insecta, totalizando 19.773 indivíduos coletados. Entre os índices aplicados, o índice BMWP foi o que melhor representou as condições do ambiente estudado.","2011","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"Aquatic entomofauna; bioindicadores; bioindicators; Entomofauna aquática; floodplain.; planície de inundação.",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.9","NBGBRX8A","journalArticle",2017,"Barba-Macías, Cinthia, EverardoTrinidad-Ocaña","Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Revista Mexicana de Biodiversidad",NA,"1870-3453",NA,"https://www.redalyc.org/articulo.oa?id=42551127021","Se proporcionan nuevos registros de la almeja asiática Corbicula fluminea (O. F Müller, 1774) para los humedales de las cuencas Papaloapan, Grijalva y Usumacinta. Se recolectó un total de 1,668 organismos en 7 localidades de la cuenca Papaloapan, 16 en Grijalva y 24 en Usumacinta, resultado de recolectas desde junio de 2011 hasta septiembre de 2015. Se registra su distribución en humedales riberenos, ˜ lacustres y estuarinos, en una diversidad de fondos desde limos hasta arenas, rocas y en sustratos con vegetación. Las mayores abundancias se presentaron para los humedales lacustres y en la cuenca del río Usumacinta. Se contribuye con el registro de 47 localidades en humedales de las cuencas del sureste, incrementando el conocimiento del estado que guardan las especies invasoras en el sureste de México, aun cuando hasta el momento no se han valorado los impactos ecológicos y económicos de las mismas.","2017","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"Distribución; Distribution; Bivalvo exótico; Exotic bivalves; Lentic; Léntico; Lotic; Lótico; Mexican southeastern.; Sureste mexicano.",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.10","EQRV973Q","journalArticle",2007,"Cózatl Manzano, Edna, RobertoNaranjo García","First records of freshwater molluscs from the ecological reserve El Edén, QuintanaRoo, Mexico","Revista Mexicana de Biodiversidad",NA,"1870-3453",NA,"https://www.redalyc.org/articulo.oa?id=42578207","","2007","2021-08-11 16:13:49","2021-08-11 16:13:49",NA,NA,NA,NA,NA,NA,"Español",NA,"diversity; bivalves; bivalvos; abundance.; abundancia.; Caracoles; diversidad; dulceacuícolas; Freshwater snails; península de Yucatán; Yucatan Peninsula",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.11","UTFE7CAK","journalArticle",2014,"Czaja, Ulises, AlexanderEstrada-Rodríguez, José LuísRomero Méndez","Freshwater mollusks of the Valley of Sobaco, Coahuila, Northeastern Mexico – a subfossil ecosystem similar to Cuatrociénegas","Boletín de la Sociedad Geológica Mexicana",NA,"1405-3322",NA,"https://www.redalyc.org/articulo.oa?id=94332984004","","2014","2021-08-11 16:13:50","2021-08-11 16:13:50",NA,NA,NA,NA,NA,NA,"Español",NA,"Cuatrociénegas Valley; ecosistemas lacustres; Holocene.; Holoceno; lacustrine ecosystems; Sobaco Valley; Valle Cuatrociénegas; Valle Sobaco",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.12","5VDF9AJN","journalArticle",2009,"Laurindo da Silva, Sonia, FabioMayer Pauleto, GustavoBiscalquini Talamoni, Jandira LiriaSilveira Ruiz","Categorização funcional trófica das comunidades de macroinvertebrados de dois reservatórios na região Centro-Oeste do Estado de São Paulo, Brasil","Acta Scientiarum. Biological Sciences",NA,"1679-9283",NA,"https://www.redalyc.org/articulo.oa?id=187114994011","pt: A utilização do conceito de guilda pode ser útil para a categorização funcional trófica de comunidades, pois não há obrigatoriedade da identificação dos organismos em nível de espécie, nem de tratar cada espécie como uma entidade separada. O objetivo deste estudo foi analisar os grupos funcionais tróficos (coletores-catadores, coletores-filtradores, fragmentadores, predadores e raspadores) das comunidades de macroinvertebrados de dois reservatórios da região Centro-Oeste do Estado de São Paulo, Brasil. As amostragens foram realizadas nos períodos chuvoso (março/abril - 2001) e de seca (julho/agosto - 2001) e os dados obtidos indicam que os coletores-catadores foram a guilda mais frequente. Este fato sugere grande importância da matéria orgânica como recurso alimentar na dieta dos macroinvertebrados analisados.","2009","2021-08-11 16:13:50","2021-08-11 16:13:50",NA,NA,NA,NA,NA,NA,"Español",NA,"Estação Ecológica de Caetetus.; functional feeding groups; grupos funcionais; Guildas; Guilds; Parque Zoológico Municipal de Bauru",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.13","V9X5Q9LV","journalArticle",2005,"CAMERO-R., DANIEL, ÉDGARDIAZ, JULIÁN ESTEBANSALINAS, ARDITÉLLEZ, LEONARDOAGUDELO","ESTUDIO DE LA ARTROPOFAUNA ASOCIADA A SUELOS DE DOS TIPOS DE ECOSISTEMAS EN LA CUENCA DEL RÍO CAUCA - COLOMBIA","Acta Biológica Colombiana",NA,"0120-548X",NA,"https://www.redalyc.org/articulo.oa?id=319028576003","En el flanco occidental del cauce del río Cauca se escogieron dos bosques con distinto tipo de vegetación: nativo y de coníferas, para efectuar comparaciones en cuanto a la composición de los artrópodos tanto en el estrato rasante del suelo como en horizontes subsuperficiales. Para la captura de la fauna se utilizaron trampas pitfall y la técnica de Berlesse y se aplicaron índices de diversidad, abundancia relativa, frecuencia y biomasa. Los resultados muestran diferencias significativas en la abundancia y la composición de los grupos de artrópodos encontrados, al igual que en los parámetros de biomasa y en la composición de grupos funcionales, lo cual puede interpretarse como cambios en la estructura trófica de los ecosistemas nativos por razones de intervención antrópica.","2005","2021-08-11 16:13:50","2021-08-11 16:13:50",NA,NA,NA,NA,NA,NA,"Español",NA,"Biodiversity; Biodiversidad; Arthropods; artrópodos; bosque seco tropical; Colombia.; fauna del suelo; Soil fauna; Tropical forest",NA,NA,"readlyc_sphaeriidae"
"readlyc_sphaeriidae.14","8Z8Q7P7M","journalArticle",2003,"Letelier, Esteban, SergioVega, Marco A.Ramos, Ana MaríaCarreño","Base de datos del Museo Nacional de Historia Natural: moluscos de Chile","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44911879008","La colección de moluscos, de Chile y de otras partes del mundo, depositada en las actuales dependencias del Laboratorio de Malacología del Museo Nacional de Historia Natural (MNHN) de Chile, es el resultado de un proceso de recolección que se inició con los fundadores de la historia natural de Chile desde 1782, con Juan I. Molina, Claudio Gay en 1854 y R. A. Philippi a partir de 1853, entre otros naturalistas. Importante fue el aporte realizado por D¿Orbigny que realizó descripciones de malacofauna de Chile, observadas en sus expediciones a América Latina, entre 1826 y 1833. Actualmente, la colección está en una etapa de organización, catalogación y recuperación de piezas originalmente descritas por Rudolfo A. Philippi, así como de numerosas donaciones y canjes que el naturalista recibió siendo director del Museo. El estudio y documentación de las colecciones de moluscos ha sido un proceso lento y ha obedecido, preferentemente, al desarrollo de trabajos en aquellos grupos de mayor interés de los investigadores que han estado a cargo del Phylum. A partir del año 1997, comenzó un nuevo proceso, con la habilitación de salas de trabajo y de depósito (Sala Colección Philippi y Chilena). También se ha abordado su ubicación en la taxonomía actual y se están mejorando sus condiciones de conservación. Muchos de los actuales lotes de moluscos terrestres, marinos y de aguas continentales e insulares deben ser revisados. Existen numerosos especímenes de otras latitudes que han sido ingresados a la base de datos. Por lo tanto, de acuerdo a la bibliografía consultada y datos sobre colecciones en el país, se registran para Chile, seis clases, 34 órdenes, 254 familias, 596 géneros y 1492 especies","2003","2021-08-11 16:13:50","2021-08-11 16:13:50",NA,NA,NA,NA,NA,NA,"Español",NA,".; Chile; collection.; data base; Moluscs",NA,NA,"readlyc_sphaeriidae"
